"Data Source","World Development Indicators",

"Last Updated Date","2019-10-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Congo, Dem. Rep.","COD","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.41626","","","","","","65.77653","","","","","83.59755","","","","84.98951","","",
"Congo, Rep.","COG","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.91395","","","","","","","82.05479",
"Colombia","COL","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.4846496582031","","","96.995002746582","","","","","","","","97.99131","97.9584","97.88317","97.96863","97.98927","97.93743","98.09842","98.23938","","","98.54095","98.53473","98.66831","","98.85165",
"Comoros","COM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","61.713020324707","","","","","","","","","","","","","","","","","","","","80.18576","","","","","","","","","","","","71.58127","","","","","","78.27039",
"Cabo Verde","CPV","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.1679000854492","","","","","","","","","","","","","","94.15","","","","","","","","98.12897","","","98.11131","","","",
"Costa Rica","CRI","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","97.148193359375","","","","","","","","","","","","","","","","97.6147","","","","","","","","","","","99.1337","","","","","","","99.43",
"Caribbean small states","CSS","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.4138336181641","92.4556579589844","92.6902313232422","92.9260406494141","93.1741333007813","93.4359436035156","93.7170028686523","93.9524993896484","94.1958312988281","94.4138793945313","94.6007385253906","94.7563781738281","94.9250183105469","94.9628829956055","95.4079513549805","95.5079193115234","95.5984878540039","95.59716","95.69673","95.71144","96.14059","96.25997","96.21611","","","",
"Cuba","CUB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","99.5685729980469","","","","","","","","","","","","","","","","","","","","","99.9556","","","","","","","","","","99.87465","","","","","","",
"Curacao","CUW","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.90682","","","","","","","","","","","",
"Cyprus","CYP","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.6213912963867","","","","","","","","","99.77493","","","","","","","","","","99.82099","","","","","","","",
"Czech Republic","CZE","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","82.6241989135742","","","","","","","","","","","","","","","","","","","","","94.21757","","","","","95.78686","","","96.80575","97.04205","97.02389","97.47243","97.68853","97.61406","98.83941","","",
"Algeria","DZA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.3272705078125","","","","","","","","","","","","","","","90.13721","","","","91.77964","","93.76733","","","","","","","","","","97.42652",
"East Asia & Pacific (excluding high income)","EAP","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","83.4260711669922","83.5622406005859","84.7838592529297","85.9904098510742","87.134162902832","88.1447372436523","89.1354522705078","89.6987380981445","90.3840484619141","90.9974594116211","91.5135803222656","92.731071472168","94.0297470092773","94.1815032958984","94.3190536499023","94.3100204467773","94.2868499755859","94.2361907958984","94.2859497070313","94.3356781005859","94.5265426635742","96.7258377075195","96.7904434204102","96.8612976074219","97.8655395507813","97.0027008056641","97.1086807250977","97.2698287963867","98.2332916259766","98.3102569580078","98.2528381347656","98.5170593261719","98.8920974731445","98.8571395874023","98.84143","98.42472","98.4567","98.48129","98.67295","98.72303","98.74075","98.77351","98.79981",
